"","fecha","total_hosp"
"1",2020-02-21,NA
"2",2020-02-22,NA
"3",2020-02-23,NA
"4",2020-02-24,NA
"5",2020-02-25,NA
"6",2020-02-26,NA
"7",2020-02-27,NA
"8",2020-02-28,NA
"9",2020-02-29,NA
"10",2020-03-01,NA
"11",2020-03-02,NA
"12",2020-03-03,NA
"13",2020-03-04,NA
"14",2020-03-05,NA
"15",2020-03-06,NA
"16",2020-03-07,NA
"17",2020-03-08,NA
"18",2020-03-09,94
"19",2020-03-10,159
"20",2020-03-11,246
"21",2020-03-12,325
"22",2020-03-13,422
"23",2020-03-14,525
"24",2020-03-15,697
"25",2020-03-16,867
"26",2020-03-17,1081
"27",2020-03-18,1339
"28",2020-03-19,1631
"29",2020-03-20,1993
"30",2020-03-21,2442
"31",2020-03-22,2730
"32",2020-03-23,3049
"33",2020-03-24,3567
"34",2020-03-25,4161
"35",2020-03-26,4534
"36",2020-03-27,5110
"37",2020-03-28,5457
"38",2020-03-29,5822
"39",2020-03-30,6065
"40",2020-03-31,6370
"41",2020-04-01,6730
"42",2020-04-02,7000
"43",2020-04-03,7295
"44",2020-04-04,7550
"45",2020-04-05,7854
"46",2020-04-06,7977
"47",2020-04-07,8180
"48",2020-04-08,8392
"49",2020-04-09,8653
"50",2020-04-10,8800
"51",2020-04-11,8915
"52",2020-04-12,9010
"53",2020-04-13,9135
"54",2020-04-14,9248
"55",2020-04-15,9437
"56",2020-04-16,9599
"57",2020-04-17,9708
"58",2020-04-18,9844
"59",2020-04-19,9946
"60",2020-04-20,10003
"61",2020-04-21,10083
"62",2020-04-22,10134
"63",2020-04-23,10187
"64",2020-04-24,10325
"65",2020-04-25,10357
"66",2020-04-26,10389
"67",2020-04-27,10562
"68",2020-04-28,10638
"69",2020-04-29,10688
"70",2020-04-30,10745
"71",2020-05-01,10826
"72",2020-05-02,10876
"73",2020-05-03,10940
"74",2020-05-04,10961
"75",2020-05-05,10998
"76",2020-05-06,11049
"77",2020-05-07,11104
"78",2020-05-08,11186
"79",2020-05-09,11222
"80",2020-05-10,11249
"81",2020-05-11,11264
"82",2020-05-12,11286
"83",2020-05-13,11311
"84",2020-05-14,11327
"85",2020-05-15,11353
"86",2020-05-16,11364
"87",2020-05-17,11378
"88",2020-05-18,11391
"89",2020-05-19,11403
"90",2020-05-20,11434
"91",2020-05-21,11454
"92",2020-05-22,11462
"93",2020-05-23,11474
"94",2020-05-24,11477
